"","concept_id","concept_code","concept_name","domain","vocabulary","is_standard","include_descendants"
"23",46269771,"10675551000119104","Acute severe exacerbation of severe persistent asthma co-occurrent with allergic rhinitis","Condition","SNOMED","S",FALSE
"24",45763891,"700423003","Adenocarcinoma of pancreas","Condition","SNOMED","S",FALSE
"25",46273188,"712515002","Adenoma of ascending colon","Condition","SNOMED","S",FALSE
"26",46273186,"712513009","Adenoma of descending colon","Condition","SNOMED","S",FALSE
"27",46273187,"712514003","Adenoma of transverse colon","Condition","SNOMED","S",FALSE
"28",45773691,"97881000119105","Adrenal incidentaloma","Condition","SNOMED","S",FALSE
"29",46270492,"328611000119105","Adult pulmonary Langerhans cell histiocytosis","Condition","SNOMED","S",FALSE
"30",45766728,"703954005","Allergic asthma due to Dermatophagoides farinae","Condition","SNOMED","S",FALSE
"31",45766727,"703953004","Allergic asthma due to Dermatophagoides pteronyssinus","Condition","SNOMED","S",FALSE
"32",45757063,"103781000119103","Allergic bronchopulmonary mycosis","Condition","SNOMED","S",FALSE
"33",45766462,"703626001","Anaplastic large cell lymphoma, T/Null cell, primary systemic type","Condition","SNOMED","S",FALSE
"34",46269801,"10692681000119108","Aspirin exacerbated respiratory disease","Condition","SNOMED","S",FALSE
"35",45772073,"10742121000119104","Asthma in mother complicating childbirth","Condition","SNOMED","S",FALSE
"36",46274062,"10692761000119107","Asthma-chronic obstructive pulmonary disease overlap syndrome","Condition","SNOMED","S",FALSE
"37",45765493,"702444009","Autoimmune lymphoproliferative syndrome","Condition","SNOMED","S",FALSE
"38",45772061,"104081000119103","Benign inverted papilloma","Condition","SNOMED","S",FALSE
"39",45757539,"18831000119107","Benign multiple endocrine neoplasia type 2a","Condition","SNOMED","S",FALSE
"40",44811174,"882781000000107","Benign neoplasm of bone of foot and ankle","Condition","SNOMED","S",FALSE
"41",46271149,"709203006","Benign neoplasm of brachial plexus","Condition","SNOMED","S",FALSE
"42",44811075,"882361000000102","Benign neoplasm of foot and ankle","Condition","SNOMED","S",FALSE
"43",44811072,"882301000000101","Benign neoplasm of soft tissue of foot and ankle","Condition","SNOMED","S",FALSE
"44",46271919,"710193006","Benign odontogenic tumor of lower jaw","Condition","SNOMED","S",FALSE
"45",46271920,"710194000","Benign odontogenic tumor of upper jaw","Condition","SNOMED","S",FALSE
"46",44792588,"360811000000109","Benign polyp","Condition","SNOMED","S",FALSE
"47",44783829,"698019000","Benign polyp of colon","Condition","SNOMED","S",FALSE
"48",45768843,"707363001","Benign tumorlet of lung","Condition","SNOMED","S",FALSE
"49",44791581,"294301000000103","Bowel cancer detected by national screening programme","Condition","SNOMED","S",FALSE
"50",44811954,"94361000000105","Breast cancer detected by national screening programme","Condition","SNOMED","S",FALSE
"51",45766385,"703531009","Brooke-Spiegler syndrome","Condition","SNOMED","S",FALSE
"52",45766453,"703614006","Calcifying aponeurotic fibroma","Condition","SNOMED","S",FALSE
"53",45765705,"702712006","Carcinoma in situ of common hepatic duct","Condition","SNOMED","S",FALSE
"54",46270923,"708921005","Carcinoma of central portion of breast","Condition","SNOMED","S",FALSE
"55",45765433,"702368000","Carcinosarcoma of ovary","Condition","SNOMED","S",FALSE
"56",45773362,"702369008","Carcinosarcoma of uterus","Condition","SNOMED","S",FALSE
"57",45773547,"705061009","Childhood myelodysplastic syndrome","Condition","SNOMED","S",FALSE
"58",44784282,"698352000","Chronic antral gastritis with hemorrhage","Condition","SNOMED","S",FALSE
"59",44810117,"866881000000101","Chronic asthma with fixed airflow obstruction","Condition","SNOMED","S",FALSE
"60",45757644,"28791000119105","Chronic coccidioidomycotic pneumonia","Condition","SNOMED","S",FALSE
"61",44782719,"153941000119100","Chronic combined systolic and diastolic heart failure","Condition","SNOMED","S",FALSE
"62",46271548,"709687000","Chronic deep vein thrombosis of pelvic vein","Condition","SNOMED","S",FALSE
"63",44782734,"132131000119102","Chronic deep venous thrombosis of calf","Condition","SNOMED","S",FALSE
"64",44782739,"132191000119103","Chronic deep venous thrombosis of femoral vein","Condition","SNOMED","S",FALSE
"65",44782740,"132201000119100","Chronic deep venous thrombosis of iliofemoral vein","Condition","SNOMED","S",FALSE
"66",44782755,"135011000119102","Chronic deep venous thrombosis of internal jugular vein","Condition","SNOMED","S",FALSE
"67",44782735,"132141000119106","Chronic deep venous thrombosis of lower extremity","Condition","SNOMED","S",FALSE
"68",46270070,"132091000119104","Chronic deep venous thrombosis of lower limb due to and following coronary artery bypass grafting","Condition","SNOMED","S",FALSE
"69",44782736,"132151000119108","Chronic deep venous thrombosis of popliteal vein","Condition","SNOMED","S",FALSE
"70",44782738,"132171000119104","Chronic deep venous thrombosis of thigh","Condition","SNOMED","S",FALSE
"71",44782737,"132161000119105","Chronic deep venous thrombosis of tibial vein","Condition","SNOMED","S",FALSE
"72",44782741,"132221000119109","Chronic deep venous thrombosis of upper extremity","Condition","SNOMED","S",FALSE
"73",44782765,"136751000119108","Chronic deep venous thrombosis of upper extremity as complication of procedure","Condition","SNOMED","S",FALSE
"74",45768998,"707553005","Chronic exogenous lipoid pneumonia","Condition","SNOMED","S",FALSE
"75",45767051,"704345008","Chronic interstitial pneumonia","Condition","SNOMED","S",FALSE
"76",45768981,"707534000","Chronic lung disease due to surfactant disorder","Condition","SNOMED","S",FALSE
"77",46272972,"711435001","Chronic migratory panniculitis","Condition","SNOMED","S",FALSE
"78",46269802,"10692721000119102","Chronic obstructive asthma co-occurrent with acute exacerbation of asthma","Condition","SNOMED","S",FALSE
"79",46269701,"106001000119101","Chronic obstructive lung disease co-occurrent with acute bronchitis","Condition","SNOMED","S",FALSE
"80",44782819,"698816006","Chronic occlusion of artery of extremity","Condition","SNOMED","S",FALSE
"81",44782715,"153811000119105","Chronic peripheral venous hypertension with lower extremity complication","Condition","SNOMED","S",FALSE
"82",46270074,"133171000119105","Chronic pharyngolaryngitis","Condition","SNOMED","S",FALSE
"83",46269693,"102361000119104","Chronic pneumonia","Condition","SNOMED","S",FALSE
"84",44782732,"133971000119108","Chronic pulmonary embolism","Condition","SNOMED","S",FALSE
"85",45768887,"707412000","Chronic pulmonary thromboembolism","Condition","SNOMED","S",FALSE
"86",45771016,"707413005","Chronic pulmonary thromboembolism without pulmonary hypertension","Condition","SNOMED","S",FALSE
"87",46270157,"15712441000119103","Chronic thrombosis of inferior vena cava","Condition","SNOMED","S",FALSE
"88",45757409,"133411000119108","Chronic thrombosis of mesenteric vein","Condition","SNOMED","S",FALSE
"89",44782759,"132551000119104","Chronic thrombosis of subclavian vein","Condition","SNOMED","S",FALSE
"90",46271475,"709602009","Chronic thrombosis of superficial vein of lower limb","Condition","SNOMED","S",FALSE
"91",44782754,"132531000119105","Chronic thrombosis of superficial vein of upper extremity","Condition","SNOMED","S",FALSE
"92",44782756,"135061000119104","Chronic thrombosis of superior vena cava","Condition","SNOMED","S",FALSE
"93",44783592,"699704002","Classic medulloblastoma","Condition","SNOMED","S",FALSE
"94",44811227,"863741000000108","Clinical stage A chronic lymphocytic leukaemia","Condition","SNOMED","S",FALSE
"95",44811228,"863761000000109","Clinical stage B chronic lymphocytic leukaemia","Condition","SNOMED","S",FALSE
"96",44814026,"863781000000100","Clinical stage C chronic lymphocytic leukaemia","Condition","SNOMED","S",FALSE
"97",45765495,"702446006","Core binding factor acute myeloid leukemia","Condition","SNOMED","S",FALSE
"98",45766268,"703387000","Cytogenetically normal acute myeloid leukemia","Condition","SNOMED","S",FALSE
"99",45757077,"105401000119101","Diabetes mellitus due to pancreatic injury","Condition","SNOMED","S",FALSE
"100",45757129,"10754881000119104","Diabetes mellitus in mother complicating childbirth","Condition","SNOMED","S",FALSE
"101",45766050,"703136005","Diabetes mellitus in remission","Condition","SNOMED","S",FALSE
"102",45757674,"31321000119102","Diabetes mellitus type 1 without retinopathy","Condition","SNOMED","S",FALSE
"103",45757474,"1481000119100","Diabetes mellitus type 2 without retinopathy","Condition","SNOMED","S",FALSE
"104",44793113,"385041000000108","Diabetes mellitus with multiple complications","Condition","SNOMED","S",FALSE
"105",45771258,"702411003","DICER1 syndrome","Condition","SNOMED","S",FALSE
"106",44808122,"847741000000106","Diffuse large B-cell lymphoma","Condition","SNOMED","S",FALSE
"107",46270966,"708971008","Diffuse sclerosing papillary thyroid carcinoma","Condition","SNOMED","S",FALSE
"108",45765445,"702383005","Distal myopathy 2","Condition","SNOMED","S",FALSE
"109",45757119,"10752641000119102","Eclampsia with pre-existing hypertension in childbirth","Condition","SNOMED","S",FALSE
"110",44784140,"700057001","Emberger syndrome","Condition","SNOMED","S",FALSE
"111",44782573,"699817008","Endolymphatic sac tumor","Condition","SNOMED","S",FALSE
"112",44783285,"699356008","Endometrial stromal sarcoma","Condition","SNOMED","S",FALSE
"113",45768911,"707445000","Exacerbation of mild persistent asthma","Condition","SNOMED","S",FALSE
"114",45772937,"707446004","Exacerbation of moderate persistent asthma","Condition","SNOMED","S",FALSE
"115",45768912,"707447008","Exacerbation of severe persistent asthma","Condition","SNOMED","S",FALSE
"116",44784600,"698772008","Extraosseous calcifying odontogenic cyst","Condition","SNOMED","S",FALSE
"117",45765439,"702375004","Familial isolated pituitary adenoma","Condition","SNOMED","S",FALSE
"118",45768864,"707387004","Fibroma of lung","Condition","SNOMED","S",FALSE
"119",44783194,"699251001","Fibrous dysplasia of bone with intramuscular myxoma","Condition","SNOMED","S",FALSE
"120",44808015,"847481000000109","Follicular lymphoma grade 1","Condition","SNOMED","S",FALSE
"121",44814156,"847631000000107","Follicular lymphoma grade 2","Condition","SNOMED","S",FALSE
"122",44808028,"847651000000100","Follicular lymphoma grade 3","Condition","SNOMED","S",FALSE
"123",45765919,"702977001","Follicular non-Hodgkin's lymphoma diffuse follicle center cell sub-type grade 2","Condition","SNOMED","S",FALSE
"124",45765770,"702786004","Follicular non-Hodgkin's lymphoma diffuse follicle center sub-type grade 1","Condition","SNOMED","S",FALSE
"125",46271213,"709287005","Gastrointestinal stromal neoplasm of duodenum","Condition","SNOMED","S",FALSE
"126",45757124,"10753491000119101","Gestational diabetes mellitus in childbirth","Condition","SNOMED","S",FALSE
"127",46271155,"709210000","Giant cell neoplasm of bone of pelvis","Condition","SNOMED","S",FALSE
"128",46271150,"709204000","Giant cell neoplasm of clavicle","Condition","SNOMED","S",FALSE
"129",46271159,"709214009","Giant cell neoplasm of long bone of lower limb","Condition","SNOMED","S",FALSE
"130",46271156,"709211001","Giant cell neoplasm of mandible","Condition","SNOMED","S",FALSE
"131",46271151,"709205004","Giant cell neoplasm of sacrum","Condition","SNOMED","S",FALSE
"132",44783785,"697970009","Giant cell tumor of bone","Condition","SNOMED","S",FALSE
"133",46271934,"710211000","Giant cell tumor of bone and articular cartilage","Condition","SNOMED","S",FALSE
"134",46273835,"710205003","Giant cell tumor of craniofacial bones","Condition","SNOMED","S",FALSE
"135",46271932,"710209009","Giant cell tumor of long bone of upper limb","Condition","SNOMED","S",FALSE
"136",46273199,"712527004","Giant cell tumor of short bone of lower limb","Condition","SNOMED","S",FALSE
"137",46273198,"712526008","Giant cell tumor of short bone of upper limb","Condition","SNOMED","S",FALSE
"138",45766526,"703704008","Giant cell tumor of synovium and/or tendon sheath","Condition","SNOMED","S",FALSE
"139",46274096,"709147009","Gingivitis co-occurrent with diabetes mellitus","Condition","SNOMED","S",FALSE
"140",44783559,"699659007","Glandular malignant peripheral nerve sheath tumor","Condition","SNOMED","S",FALSE
"141",46271210,"709284003","Glomus neoplasm of mastoid","Condition","SNOMED","S",FALSE
"142",44783747,"699852000","Granular cell myoblastoma of tongue","Condition","SNOMED","S",FALSE
"143",44782475,"699331002","Granular cell tumor of neurohypophysis","Condition","SNOMED","S",FALSE
"144",44783557,"699657009","Hepatosplenic gamma-delta cell lymphoma","Condition","SNOMED","S",FALSE
"145",44783287,"699358009","High grade endometrial stromal sarcoma","Condition","SNOMED","S",FALSE
"146",46284256,"943041000000105","HIV (human immunodeficiency virus) disease resulting in haematological and immunological abnormalities","Condition","SNOMED","S",FALSE
"147",45757132,"10755671000119100","Human immunodeficiency virus in mother complicating childbirth","Condition","SNOMED","S",FALSE
"148",45765441,"702378002","Hyperparathyroidism-jaw tumor syndrome","Condition","SNOMED","S",FALSE
"149",45771067,"71701000119105","Hypertension in chronic kidney disease due to type 1 diabetes mellitus","Condition","SNOMED","S",FALSE
"150",45771064,"71421000119105","Hypertension in chronic kidney disease due to type 2 diabetes mellitus","Condition","SNOMED","S",FALSE
"151",45757447,"140131000119102","Hypertension in chronic kidney disease stage 2 due to type 2 diabetes mellitus","Condition","SNOMED","S",FALSE
"152",45757446,"140121000119100","Hypertension in chronic kidney disease stage 3 due to type 2 diabetes mellitus","Condition","SNOMED","S",FALSE
"153",45757445,"140111000119107","Hypertension in chronic kidney disease stage 4 due to type 2 diabetes mellitus","Condition","SNOMED","S",FALSE
"154",45757444,"140101000119109","Hypertension in chronic kidney disease stage 5 due to type 2 diabetes mellitus","Condition","SNOMED","S",FALSE
"155",44784484,"698640000","Hypertension in the puerperium with pulmonary edema","Condition","SNOMED","S",FALSE
"156",44809548,"845891000000103","Hypertension resistant to drug therapy","Condition","SNOMED","S",FALSE
"157",45768449,"706882009","Hypertensive crisis","Condition","SNOMED","S",FALSE
"158",44784621,"8501000119104","Hypertensive heart and chronic kidney disease","Condition","SNOMED","S",FALSE
"159",44784637,"96701000119107","Hypertensive heart AND chronic kidney disease on dialysis","Condition","SNOMED","S",FALSE
"160",44784640,"96751000119106","Hypertensive heart AND chronic kidney disease stage 1","Condition","SNOMED","S",FALSE
"161",44784639,"96721000119103","Hypertensive heart AND chronic kidney disease stage 4","Condition","SNOMED","S",FALSE
"162",44784638,"96711000119105","Hypertensive heart AND chronic kidney disease stage 5","Condition","SNOMED","S",FALSE
"163",45763750,"700250006","Idiopathic pulmonary fibrosis","Condition","SNOMED","S",FALSE
"164",46270030,"125021000119107","Intermittent asthma co-occurrent with allergic rhinitis","Condition","SNOMED","S",FALSE
"165",46270322,"1741000119102","Intermittent asthma uncontrolled","Condition","SNOMED","S",FALSE
"166",44783643,"697929007","Intermittent hypertension","Condition","SNOMED","S",FALSE
"167",45757626,"25911000119108","Intracavitary leiomyoma of uterus","Condition","SNOMED","S",FALSE
"168",44783490,"699588004","Intracortical lipoma","Condition","SNOMED","S",FALSE
"169",44783445,"699538007","Intraosseous lipoma","Condition","SNOMED","S",FALSE
"170",46272435,"710798009","Juvenile hemangioendothelioma","Condition","SNOMED","S",FALSE
"171",45769791,"708518001","Juvenile papillomatosis of breast","Condition","SNOMED","S",FALSE
"172",45766461,"703625002","Kaposi's sarcoma not associated with acquired immunodeficiency syndrome","Condition","SNOMED","S",FALSE
"173",44782582,"698011002","Keratinizing squamous cell carcinoma of nasopharynx","Condition","SNOMED","S",FALSE
"174",44783644,"697930002","Labile hypertension due to being in a clinical environment","Condition","SNOMED","S",FALSE
"175",45772935,"707431006","Langerhans cell histiocytosis of diaper area","Condition","SNOMED","S",FALSE
"176",45768901,"707432004","Langerhans cell histiocytosis of skin","Condition","SNOMED","S",FALSE
"177",45765769,"702785000","Large cell anaplastic lymphoma T cell and Null cell type","Condition","SNOMED","S",FALSE
"178",44784172,"698200003","Large cell Ewing sarcoma of bone","Condition","SNOMED","S",FALSE
"179",45768852,"707374005","Leiomyoma of lung","Condition","SNOMED","S",FALSE
"180",44782480,"699355007","Leiomyosarcoma of orbit","Condition","SNOMED","S",FALSE
"181",44787902,"112991000000101","Lipoatrophic diabetes mellitus without complication","Condition","SNOMED","S",FALSE
"182",45768847,"707368005","Lipoma of lung","Condition","SNOMED","S",FALSE
"183",46270341,"2460001000004103","Lipoma of pleura","Condition","SNOMED","S",FALSE
"184",44783286,"699357004","Low grade endometrial stromal sarcoma","Condition","SNOMED","S",FALSE
"185",45768902,"707433009","Lymphangioleiomyomatosis due to tuberous sclerosis syndrome","Condition","SNOMED","S",FALSE
"186",46271402,"709517003","Malignant carcinoid tumor of small intestine","Condition","SNOMED","S",FALSE
"187",46271647,"709830006","Malignant carcinoid tumor of stomach","Condition","SNOMED","S",FALSE
"188",45765460,"702405001","Malignant granulosa cell tumor of testis","Condition","SNOMED","S",FALSE
"189",45771014,"707350007","Malignant melanoma of accessory sinus","Condition","SNOMED","S",FALSE
"190",44782590,"698045009","Malignant melanoma of buccal mucosa","Condition","SNOMED","S",FALSE
"191",44784245,"698285005","Malignant melanoma of ethmoid sinus","Condition","SNOMED","S",FALSE
"192",44783847,"698043002","Malignant melanoma of floor of mouth","Condition","SNOMED","S",FALSE
"193",45768841,"707361004","Malignant melanoma of frontal sinus","Condition","SNOMED","S",FALSE
"194",44782652,"698287002","Malignant melanoma of gum","Condition","SNOMED","S",FALSE
"195",44784247,"698288007","Malignant melanoma of maxillary sinus","Condition","SNOMED","S",FALSE
"196",44783845,"698040004","Malignant melanoma of nasal cavity","Condition","SNOMED","S",FALSE
"197",44784246,"698286006","Malignant melanoma of palate","Condition","SNOMED","S",FALSE
"198",44783848,"698044008","Malignant melanoma of palatine arch","Condition","SNOMED","S",FALSE
"199",45768842,"707362006","Malignant melanoma of sphenoidal sinus","Condition","SNOMED","S",FALSE
"200",44782589,"698042007","Malignant melanoma of tongue","Condition","SNOMED","S",FALSE
"201",44783846,"698041000","Malignant melanoma of vestibule of mouth","Condition","SNOMED","S",FALSE
"202",45770824,"94281000119101","Malignant multiple endocrine neoplasia type 2a","Condition","SNOMED","S",FALSE
"203",45769408,"708054009","Malignant neoplasm after immunosuppressive therapy","Condition","SNOMED","S",FALSE
"204",45765513,"702467006","Malignant neoplasm of augmented bladder","Condition","SNOMED","S",FALSE
"205",44811175,"882791000000109","Malignant neoplasm of foot and ankle","Condition","SNOMED","S",FALSE
"206",46273197,"712525007","Malignant neoplasm of short bone of lower limb","Condition","SNOMED","S",FALSE
"207",46271011,"709031009","Malignant neoplasm of superior wall of nasopharynx","Condition","SNOMED","S",FALSE
"208",45757101,"10745291000119103","Malignant neoplastic disease in mother complicating childbirth","Condition","SNOMED","S",FALSE
"209",45757107,"10749871000119100","Malignant neoplastic disease in pregnancy","Condition","SNOMED","S",FALSE
"210",46271921,"710195004","Malignant odontogenic neoplasm of lower jaw","Condition","SNOMED","S",FALSE
"211",46271922,"710196003","Malignant odontogenic tumor of upper jaw","Condition","SNOMED","S",FALSE
"212",45766300,"703429003","Malignant optic glioma of adulthood","Condition","SNOMED","S",FALSE
"213",45763941,"700488005","Malignant sex cord tumor of testis","Condition","SNOMED","S",FALSE
"214",44792134,"335621000000101","Maternally inherited diabetes mellitus","Condition","SNOMED","S",FALSE
"215",45767695,"705176003","Metastatic carcinoid tumor","Condition","SNOMED","S",FALSE
"216",45772700,"704152002","Metastatic neuroblastoma","Condition","SNOMED","S",FALSE
"217",45773365,"702392008","Metastatic renal cell carcinoma","Condition","SNOMED","S",FALSE
"218",46269776,"10675871000119106","Mild persistent allergic asthma","Condition","SNOMED","S",FALSE
"219",46270029,"125011000119100","Mild persistent asthma co-occurrent with allergic rhinitis","Condition","SNOMED","S",FALSE
"220",46269784,"10676391000119108","Moderate persistent allergic asthma","Condition","SNOMED","S",FALSE
"221",46273454,"125001000119103","Moderate persistent asthma co-occurrent with allergic rhinitis","Condition","SNOMED","S",FALSE
"222",44784598,"698770000","Multicystic intraosseous ameloblastoma","Condition","SNOMED","S",FALSE
"223",45768854,"707376007","Multiple leiomyoma of lung","Condition","SNOMED","S",FALSE
"224",45768846,"707367000","Multiple sclerosing hemangioma of lung","Condition","SNOMED","S",FALSE
"225",46271935,"710212007","Neoplasm of cervical spinal nerve","Condition","SNOMED","S",FALSE
"226",44783255,"699320005","Neoplasm of mandibular condyle","Condition","SNOMED","S",FALSE
"227",44783374,"699459002","Neoplasm of muscle of mastication","Condition","SNOMED","S",FALSE
"228",46271148,"709202001","Neoplasm of sacroiliac joint","Condition","SNOMED","S",FALSE
"229",44783947,"699955004","Neoplasm of skeletal muscle","Condition","SNOMED","S",FALSE
"230",45757099,"10743831000119100","Neoplasm of uterus affecting pregnancy","Condition","SNOMED","S",FALSE
"231",46271214,"709289008","Neoplasm of vertebra","Condition","SNOMED","S",FALSE
"232",45769056,"707625001","Neuroendocrine neoplasm of larynx","Condition","SNOMED","S",FALSE
"233",45769033,"707594002","Neuroendocrine neoplasm of lung","Condition","SNOMED","S",FALSE
"234",44811110,"863191000000102","Nocturnal hypertension","Condition","SNOMED","S",FALSE
"235",45766129,"703228009","Non-small cell lung cancer with mutation in epidermal growth factor receptor","Condition","SNOMED","S",FALSE
"236",45766131,"703230006","Non-small cell lung cancer without mutation in epidermal growth factor receptor","Condition","SNOMED","S",FALSE
"237",45769123,"707705008","Nonkeratinizing carcinoma of the nasopharynx","Condition","SNOMED","S",FALSE
"238",44783965,"698076003","Osteoma of mandibular condyle","Condition","SNOMED","S",FALSE
"239",44783824,"698013004","Osteoma of periosteum","Condition","SNOMED","S",FALSE
"240",45769059,"707628004","Overlapping squamous cell carcinoma of hypopharynx","Condition","SNOMED","S",FALSE
"241",45768900,"707430007","Overlapping squamous cell carcinoma of laryngeal cartilage","Condition","SNOMED","S",FALSE
"242",45768899,"707429002","Overlapping squamous cell carcinoma of larynx","Condition","SNOMED","S",FALSE
"243",45768978,"707529004","Overlapping squamous cell carcinoma of oropharynx","Condition","SNOMED","S",FALSE
"244",45757756,"367821000119106","Page kidney","Condition","SNOMED","S",FALSE
"245",45757465,"145321000119108","Papillary mass of biliary tract","Condition","SNOMED","S",FALSE
"246",46273955,"711329002","Papilloma","Condition","SNOMED","S",FALSE
"247",44783253,"699317002","Paratesticular malignant neoplasm","Condition","SNOMED","S",FALSE
"248",45766976,"704255005","Pathologic fracture of ankle at site of neoplasm","Condition","SNOMED","S",FALSE
"249",45766972,"704251001","Pathologic fracture of bone of foot at site of neoplasm","Condition","SNOMED","S",FALSE
"250",45766971,"704250000","Pathologic fracture of bone of hand at site of neoplasm","Condition","SNOMED","S",FALSE
"251",45757319,"11311561000119109","Pathologic fracture of cervical vertebra at site of neoplasm","Condition","SNOMED","S",FALSE
"252",45766975,"704254009","Pathologic fracture of clavicle at site of neoplasm","Condition","SNOMED","S",FALSE
"253",45766974,"704253003","Pathologic fracture of femur at site of neoplasm","Condition","SNOMED","S",FALSE
"254",45766973,"704252008","Pathologic fracture of fibula at site of neoplasm","Condition","SNOMED","S",FALSE
"255",45766970,"704248008","Pathologic fracture of humerus at site of neoplasm","Condition","SNOMED","S",FALSE
"256",45757317,"11311481000119104","Pathologic fracture of lumbar vertebra at site of neoplasm","Condition","SNOMED","S",FALSE
"257",45757298,"11307961000119106","Pathologic fracture of pelvis at site of neoplasm","Condition","SNOMED","S",FALSE
"258",45772710,"704249000","Pathologic fracture of proximal femur at site of neoplasm","Condition","SNOMED","S",FALSE
"259",45766969,"704247003","Pathologic fracture of radius at site of neoplasm","Condition","SNOMED","S",FALSE
"260",45770875,"11311721000119107","Pathologic fracture of sacral vertebra at site of neoplasm","Condition","SNOMED","S",FALSE
"261",45766968,"704246007","Pathologic fracture of scapula at site of neoplasm","Condition","SNOMED","S",FALSE
"262",45766967,"704245006","Pathologic fracture of tibia at site of neoplasm","Condition","SNOMED","S",FALSE
"263",45766966,"704244005","Pathologic fracture of ulna at site of neoplasm","Condition","SNOMED","S",FALSE
"264",45757321,"11311681000119101","Pathologic fracture of vertebra at site of neoplasm","Condition","SNOMED","S",FALSE
"265",45757315,"11311401000119107","Pathological fracture of thoracic vertebra due to neoplastic disease","Condition","SNOMED","S",FALSE
"266",46271363,"709471005","Periodontitis co-occurrent with leukemia","Condition","SNOMED","S",FALSE
"267",45769780,"708504008","Periosteal osteosarcoma of jaw","Condition","SNOMED","S",FALSE
"268",45766174,"703284009","Phakomatosis cesioflammea","Condition","SNOMED","S",FALSE
"269",45766176,"703286006","Phakomatosis cesiomarmorata","Condition","SNOMED","S",FALSE
"270",45766175,"703285005","Phakomatosis spilorosea","Condition","SNOMED","S",FALSE
"271",45769094,"707670009","Pleuropulmonary blastoma","Condition","SNOMED","S",FALSE
"272",45769095,"707671008","Pleuropulmonary blastoma type I","Condition","SNOMED","S",FALSE
"273",45769096,"707672001","Pleuropulmonary blastoma type II","Condition","SNOMED","S",FALSE
"274",45769097,"707673006","Pleuropulmonary blastoma type III","Condition","SNOMED","S",FALSE
"275",44783444,"699537002","Polyostotic sclerosing histiocytosis","Condition","SNOMED","S",FALSE
"276",44784594,"698766008","Posterior fossa brain malformation, haemaniogma, arterial anomaly, cardiac defect and aortic coarctation, eye abnormality synodrome and sternal anomaly syndrome","Condition","SNOMED","S",FALSE
"277",44782523,"698765007","Posterior fossa brain malformation, hemangioma, arterial anomaly, cardiac defect and aortic coarctation, and eye abnormality syndrome","Condition","SNOMED","S",FALSE
"278",45757789,"40791000119105","Postpartum gestational diabetes mellitus","Condition","SNOMED","S",FALSE
"279",45757787,"40511000119107","Postpartum pre-existing essential hypertension","Condition","SNOMED","S",FALSE
"280",45757788,"40521000119100","Postpartum pregnancy-induced hypertension","Condition","SNOMED","S",FALSE
"281",44793114,"385051000000106","Pre-existing diabetes mellitus","Condition","SNOMED","S",FALSE
"282",45757079,"106281000119103","Pre-existing diabetes mellitus in mother complicating childbirth","Condition","SNOMED","S",FALSE
"283",45757356,"118781000119108","Pre-existing hypertensive chronic kidney disease in mother complicating pregnancy","Condition","SNOMED","S",FALSE
