domain_id,parent_concept,concept_name,concept_id,vocabulary_id,concept_code
Condition,Asthma,Moderate persistent asthma co-occurrent with allergic rhinitis,46273454,SNOMED,125001000119103
Condition,Asthma,Near fatal asthma,37206717,SNOMED,786836003
Condition,Asthma,Non-IgE mediated allergic asthma,4309833,SNOMED,423889005
Condition,Asthma,Occasional asthma,4155470,SNOMED,370220003
Condition,Asthma,Occupational asthma,4212099,SNOMED,57607007
Condition,Asthma,Oral steroid-dependent asthma,37109103,SNOMED,16584951000119101
Condition,Asthma,Persistent asthma,764677,SNOMED,5281000124103
Condition,Asthma,"Persistent asthma, well controlled",764949,SNOMED,901000119100
Condition,Asthma,Platinum asthma,4232595,SNOMED,404804003
Condition,Asthma,Printers' asthma,4080516,SNOMED,18041002
Condition,Asthma,Seasonal asthma,40483397,SNOMED,445427006
Condition,Asthma,Severe asthma,4152913,SNOMED,370221004
Condition,Asthma,Severe asthma with fungal sensitisation,37208352,SNOMED,1103911000000103
Condition,Asthma,Severe controlled persistent asthma,37108580,SNOMED,10675391000119101
Condition,Asthma,Severe persistent allergic asthma,46269770,SNOMED,10675431000119106
Condition,Asthma,Severe persistent asthma,4145356,SNOMED,426656000
Condition,Asthma,Severe persistent asthma co-occurrent with allergic rhinitis,46270028,SNOMED,124991000119109
Condition,Asthma,Severe uncontrolled persistent asthma,37108581,SNOMED,10675751000119107
Condition,Asthma,Steroid dependent asthma,46273635,SNOMED,2360001000004109
Condition,Asthma,Substance induced asthma,4312524,SNOMED,424199006
Condition,Asthma,Sulfite-induced asthma,4120261,SNOMED,233688007
Condition,Asthma,Tea-makers' asthma,4301938,SNOMED,418395004
Condition,Asthma,Thunderstorm asthma,3661412,SNOMED,829976001
Condition,Asthma,Uncomplicated allergic asthma,42539549,SNOMED,735588005
Condition,Asthma,Uncomplicated asthma,45768910,SNOMED,707444001
Condition,Asthma,Uncomplicated mild persistent asthma,45768963,SNOMED,707511009
Condition,Asthma,Uncomplicated moderate persistent asthma,45768964,SNOMED,707512002
Condition,Asthma,Uncomplicated non-allergic asthma,42536649,SNOMED,735589002
Condition,Asthma,Uncomplicated severe persistent asthma,45768965,SNOMED,707513007
Condition,Asthma,Weavers' cough,4245292,SNOMED,59786004
Condition,Chronic disease of cardiovascular system,Abdominal angina,4345926,SNOMED,241154007
Condition,Chronic disease of cardiovascular system,ABri amyloidosis,37204495,SNOMED,783161005
Condition,Chronic disease of cardiovascular system,Acute exacerbation of chronic congestive heart failure,44782655,SNOMED,698296002
Condition,Chronic disease of cardiovascular system,Acute on chronic combined systolic and diastolic heart failure,44782733,SNOMED,153951000119103
Condition,Chronic disease of cardiovascular system,Acute on chronic diastolic heart failure,40481043,SNOMED,443344007
Condition,Chronic disease of cardiovascular system,Acute on chronic heart failure co-occurrent with normal ejection fraction,764874,SNOMED,7401000175100
Condition,Chronic disease of cardiovascular system,Acute on chronic right-sided congestive heart failure,37309625,SNOMED,16838951000119100
Condition,Chronic disease of cardiovascular system,Acute on chronic systolic heart failure,40480602,SNOMED,443253003
Condition,Chronic disease of cardiovascular system,Atherosclerosis of bypass graft of bilateral lower limbs with intermittent claudication,761828,SNOMED,16014071000119107
Condition,Chronic disease of cardiovascular system,Atherosclerosis of bypass graft of left lower limb with intermittent claudication,761827,SNOMED,16014031000119109
Condition,Chronic disease of cardiovascular system,Atherosclerosis of bypass graft of right lower limb with intermittent claudication,761826,SNOMED,16013711000119104
Condition,Chronic disease of cardiovascular system,Behçet's disease affecting oral mucosa,4293711,SNOMED,403443000
Condition,Chronic disease of cardiovascular system,Behcet's disease with multisystem involvement,4343930,SNOMED,239922003
Condition,Chronic disease of cardiovascular system,Behcet's disease with organ/system involvement,4347061,SNOMED,239921005
Condition,Chronic disease of cardiovascular system,Behcet's syndrome,436642,SNOMED,310701003
Condition,Chronic disease of cardiovascular system,"Behcet's syndrome, complete type",4211990,SNOMED,57484009
Condition,Chronic disease of cardiovascular system,"Behcet's syndrome, incomplete type",4203452,SNOMED,53485006
Condition,Chronic disease of cardiovascular system,"Behcet's syndrome, intestinal type",4202809,SNOMED,54034003
Condition,Chronic disease of cardiovascular system,"Behcet's syndrome, neurologic type",4070155,SNOMED,21542005
Condition,Chronic disease of cardiovascular system,"Behcet's syndrome, vascular type",4138971,SNOMED,3275009
Condition,Chronic disease of cardiovascular system,Benign hypertensive heart disease and chronic renal disease,764011,SNOMED,449631000124102
Condition,Chronic disease of cardiovascular system,Benign hypertensive heart disease and chronic renal disease stage 1,765535,SNOMED,285041000119107
Condition,Chronic disease of cardiovascular system,Benign hypertensive heart disease and chronic renal disease stage 2,762000,SNOMED,285061000119106
Condition,Chronic disease of cardiovascular system,Benign hypertensive heart disease and chronic renal disease stage 3,762001,SNOMED,285081000119102
Condition,Chronic disease of cardiovascular system,Benign hypertensive heart disease and chronic renal disease stage 4,765536,SNOMED,285101000119109
Condition,Chronic disease of cardiovascular system,Benign hypertensive heart disease and chronic renal disease stage 5,760850,SNOMED,120261000119101
Condition,Chronic disease of cardiovascular system,Bilateral chronic deep venous thrombosis of lower extremities,762420,SNOMED,350321000119108
Condition,Chronic disease of cardiovascular system,"Brachydactyly, mesomelia, intellectual disability, heart defect syndrome",35623289,SNOMED,765761009
Condition,Chronic disease of cardiovascular system,Chronic adhesive pericarditis,4181182,SNOMED,42999000
Condition,Chronic disease of cardiovascular system,Chronic aneurysm of left internal jugular vein,761837,SNOMED,16025671000119105
Condition,Chronic disease of cardiovascular system,Chronic aneurysm of left popliteal vein,765302,SNOMED,16025791000119100
Condition,Chronic disease of cardiovascular system,Chronic aneurysm of right internal jugular vein,761839,SNOMED,16025871000119109
Condition,Chronic disease of cardiovascular system,Chronic aneurysm of right popliteal vein,761838,SNOMED,16025751000119105
Condition,Chronic disease of cardiovascular system,Chronic antral gastritis with hemorrhage,44784282,SNOMED,698352000
Condition,Chronic disease of cardiovascular system,Chronic atrial and intestinal dysrhythmia,36715042,SNOMED,720507006
Condition,Chronic disease of cardiovascular system,Chronic atrial fibrillation,4141360,SNOMED,426749004
Condition,Chronic disease of cardiovascular system,Chronic atrial flutter,4137382,SNOMED,425615007
Condition,Chronic disease of cardiovascular system,Chronic bacterial endocarditis,4330696,SNOMED,22462001
Condition,Chronic disease of cardiovascular system,Chronic cerebral ischemia,4006976,SNOMED,111298007
Condition,Chronic disease of cardiovascular system,Chronic cerebrovascular accident,765568,SNOMED,434141000124103
Condition,Chronic disease of cardiovascular system,Chronic Chagas disease with heart involvement,36716727,SNOMED,722890004
Condition,Chronic disease of cardiovascular system,Chronic cholesterol pericardial effusion,4119596,SNOMED,233887004
Condition,Chronic disease of cardiovascular system,Chronic combined systolic and diastolic heart failure,44782719,SNOMED,153941000119100
Condition,Chronic disease of cardiovascular system,Chronic congestive heart failure,4229440,SNOMED,88805009
Condition,Chronic disease of cardiovascular system,Chronic constrictive pericarditis,4203625,SNOMED,52535005
Condition,Chronic disease of cardiovascular system,Chronic cor pulmonale,4195892,SNOMED,79955004
Condition,Chronic disease of cardiovascular system,Chronic deep vein thromboses,3174315,Nebraska Lexicon,30950001000004102
Condition,Chronic disease of cardiovascular system,Chronic deep vein thrombosis of bilateral iliac veins,765152,SNOMED,293441000119104
Condition,Chronic disease of cardiovascular system,Chronic deep vein thrombosis of left iliac vein,35616026,SNOMED,293461000119100
Condition,Chronic disease of cardiovascular system,Chronic deep vein thrombosis of left pelvic vein,761439,SNOMED,15711001000119104
Condition,Chronic disease of cardiovascular system,Chronic deep vein thrombosis of left upper limb following procedure,761418,SNOMED,15708521000119108
Condition,Chronic disease of cardiovascular system,Chronic deep vein thrombosis of pelvic vein,46271548,SNOMED,709687000
Condition,Chronic disease of cardiovascular system,Chronic deep vein thrombosis of right axillary vein,765539,SNOMED,285371000119102
Condition,Chronic disease of cardiovascular system,Chronic deep vein thrombosis of right iliac vein,35616025,SNOMED,293451000119102
Condition,Chronic disease of cardiovascular system,Chronic deep vein thrombosis of right pelvic vein,761441,SNOMED,15711081000119107
Condition,Chronic disease of cardiovascular system,Chronic deep vein thrombosis of right upper extremity,762007,SNOMED,285311000119105
Condition,Chronic disease of cardiovascular system,Chronic deep vein thrombosis of right upper limb following procedure,761417,SNOMED,15708481000119108
Condition,Chronic disease of cardiovascular system,Chronic deep venous thrombosis,36712971,SNOMED,15760351000119105
Condition,Chronic disease of cardiovascular system,Chronic deep venous thrombosis of axillary vein,761026,SNOMED,134971000119105
Condition,Chronic disease of cardiovascular system,Chronic deep venous thrombosis of bilateral axillary veins,762011,SNOMED,285351000119106
Condition,Chronic disease of cardiovascular system,Chronic deep venous thrombosis of bilateral calves,761445,SNOMED,15711441000119107
Condition,Chronic disease of cardiovascular system,Chronic deep venous thrombosis of bilateral ileofemoral veins,765542,SNOMED,285471000119109
Condition,Chronic disease of cardiovascular system,Chronic deep venous thrombosis of bilateral internal jugular veins,762019,SNOMED,285531000119105
Condition,Chronic disease of cardiovascular system,Chronic deep venous thrombosis of bilateral pelvic veins,761440,SNOMED,15711041000119102
Condition,Chronic disease of cardiovascular system,Chronic deep venous thrombosis of bilateral popliteal veins,762023,SNOMED,285591000119109
Condition,Chronic disease of cardiovascular system,Chronic deep venous thrombosis of bilateral thighs,761449,SNOMED,15711601000119107
Condition,Chronic disease of cardiovascular system,Chronic deep venous thrombosis of both upper extremities,762006,SNOMED,285291000119106
Condition,Chronic disease of cardiovascular system,Chronic deep venous thrombosis of calf,44782734,SNOMED,132131000119102
Condition,Chronic disease of cardiovascular system,Chronic deep venous thrombosis of femoral vein,44782739,SNOMED,132191000119103
Condition,Chronic disease of cardiovascular system,Chronic deep venous thrombosis of femoral vein of left lower extremity,765153,SNOMED,285421000119108
Condition,Chronic disease of cardiovascular system,Chronic deep venous thrombosis of femoral vein of right lower extremity,765154,SNOMED,285431000119106
Condition,Chronic disease of cardiovascular system,Chronic deep venous thrombosis of femoral veins of both lower extremities,762014,SNOMED,285411000119101
Condition,Chronic disease of cardiovascular system,Chronic deep venous thrombosis of iliofemoral vein,44782740,SNOMED,132201000119100
Condition,Chronic disease of cardiovascular system,Chronic deep venous thrombosis of internal jugular vein,44782755,SNOMED,135011000119102
Condition,Chronic disease of cardiovascular system,Chronic deep venous thrombosis of left axillary vein,762012,SNOMED,285361000119108
Condition,Chronic disease of cardiovascular system,Chronic deep venous thrombosis of left calf,761447,SNOMED,15711521000119102
Condition,Chronic disease of cardiovascular system,Chronic deep venous thrombosis of left ileofemoral vein,765543,SNOMED,285481000119107
Condition,Chronic disease of cardiovascular system,Chronic deep venous thrombosis of left internal jugular vein,765544,SNOMED,285541000119101
Condition,Chronic disease of cardiovascular system,Chronic deep venous thrombosis of left lower extremity,762421,SNOMED,350331000119106
Condition,Chronic disease of cardiovascular system,Chronic deep venous thrombosis of left thigh,761446,SNOMED,15711481000119102
Condition,Chronic disease of cardiovascular system,Chronic deep venous thrombosis of left upper extremity,765538,SNOMED,285301000119107
Condition,Chronic disease of cardiovascular system,Chronic deep venous thrombosis of lower extremity,44782735,SNOMED,132141000119106
Condition,Chronic disease of cardiovascular system,Chronic deep venous thrombosis of lower limb due to coronary artery bypass grafting,46270070,SNOMED,132091000119104
Condition,Chronic disease of cardiovascular system,Chronic deep venous thrombosis of popliteal vein,44782736,SNOMED,132151000119108
Condition,Chronic disease of cardiovascular system,Chronic deep venous thrombosis of popliteal vein of left leg,762024,SNOMED,285601000119102
Condition,Chronic disease of cardiovascular system,Chronic deep venous thrombosis of popliteal vein of right leg,762025,SNOMED,285611000119104
Condition,Chronic disease of cardiovascular system,Chronic deep venous thrombosis of right calf,761450,SNOMED,15711641000119109
Condition,Chronic disease of cardiovascular system,Chronic deep venous thrombosis of right ileofemoral vein,762016,SNOMED,285491000119105
Condition,Chronic disease of cardiovascular system,Chronic deep venous thrombosis of right internal jugular vein,765545,SNOMED,285551000119104
Condition,Chronic disease of cardiovascular system,Chronic deep venous thrombosis of right lower extremity,762422,SNOMED,350341000119102
Condition,Chronic disease of cardiovascular system,Chronic deep venous thrombosis of right thigh,761448,SNOMED,15711561000119107
Condition,Chronic disease of cardiovascular system,Chronic deep venous thrombosis of thigh,44782738,SNOMED,132171000119104
Condition,Chronic disease of cardiovascular system,Chronic deep venous thrombosis of tibial vein,44782737,SNOMED,132161000119105
Condition,Chronic disease of cardiovascular system,Chronic deep venous thrombosis of tibial vein of bilateral lower extremities,762027,SNOMED,285651000119103
Condition,Chronic disease of cardiovascular system,Chronic deep venous thrombosis of tibial vein of left leg,762028,SNOMED,285661000119101
Condition,Chronic disease of cardiovascular system,Chronic deep venous thrombosis of tibial vein of right leg,762029,SNOMED,285671000119107
Condition,Chronic disease of cardiovascular system,Chronic deep venous thrombosis of upper extremity,44782741,SNOMED,132221000119109
Condition,Chronic disease of cardiovascular system,Chronic deep venous thrombosis of upper extremity as complication of procedure,44782765,SNOMED,136751000119108
Condition,Chronic disease of cardiovascular system,Chronic degenerative aortic valve disease,4242036,SNOMED,92808004
Condition,Chronic disease of cardiovascular system,Chronic diastolic heart failure,40479576,SNOMED,441530006
Condition,Chronic disease of cardiovascular system,Chronic disease of cardiovascular system,4028244,SNOMED,128292002
Condition,Chronic disease of cardiovascular system,Chronic dissection of thoracic aorta,37016883,SNOMED,713030005
Condition,Chronic disease of cardiovascular system,Chronic ectopic atrial tachycardia,4098133,SNOMED,26950008
Condition,Chronic disease of cardiovascular system,Chronic effusive pericarditis,4097815,SNOMED,27017003
Condition,Chronic disease of cardiovascular system,Chronic endocarditis,4168162,SNOMED,4851007
Condition,Chronic disease of cardiovascular system,Chronic gastric ulcer with hemorrhage,4211001,SNOMED,57246001
Condition,Chronic disease of cardiovascular system,Chronic gastric ulcer with hemorrhage and with obstruction,201885,SNOMED,85859006
Condition,Chronic disease of cardiovascular system,Chronic gastric ulcer with hemorrhage and with perforation,4294973,SNOMED,76181002
Condition,Chronic disease of cardiovascular system,Chronic gastric ulcer with hemorrhage AND with perforation but without obstruction,196442,SNOMED,74341002
Condition,Chronic disease of cardiovascular system,Chronic gastric ulcer with hemorrhage but without obstruction,197018,SNOMED,76078009
Condition,Chronic disease of cardiovascular system,"Chronic gastric ulcer with hemorrhage, with perforation and with obstruction",198801,SNOMED,85787009
Condition,Chronic disease of cardiovascular system,Chronic gastrointestinal tract vascular insufficiency,4148257,SNOMED,266520007
Condition,Chronic disease of cardiovascular system,Chronic gastrojejunal ulcer with hemorrhage,433515,SNOMED,62838000
Condition,Chronic disease of cardiovascular system,Chronic gastrojejunal ulcer with hemorrhage and obstruction,436729,SNOMED,90257004
Condition,Chronic disease of cardiovascular system,Chronic gastrojejunal ulcer with hemorrhage and perforation,4164920,SNOMED,45640006
Condition,Chronic disease of cardiovascular system,Chronic gastrojejunal ulcer with hemorrhage and with perforation but without obstruction,437326,SNOMED,46523000
Condition,Chronic disease of cardiovascular system,Chronic gastrojejunal ulcer with hemorrhage but without perforation,4244406,SNOMED,59356009
Condition,Chronic disease of cardiovascular system,"Chronic gastrojejunal ulcer with hemorrhage, with perforation and with obstruction",443779,SNOMED,24001002
Condition,Chronic disease of cardiovascular system,Chronic heart disease,4134586,SNOMED,128238001
Condition,Chronic disease of cardiovascular system,Chronic heart failure,444031,SNOMED,48447003
Condition,Chronic disease of cardiovascular system,Chronic heart failure co-occurrent with normal ejection fraction,764876,SNOMED,7411000175102
Condition,Chronic disease of cardiovascular system,Chronic hypertension complicating AND/OR reason for care during childbirth,4304837,SNOMED,8218002
Condition,Chronic disease of cardiovascular system,Chronic hypertension complicating AND/OR reason for care during pregnancy,4291933,SNOMED,37618003
Condition,Chronic disease of cardiovascular system,Chronic hypertension complicating AND/OR reason for care during puerperium,4080325,SNOMED,24042004
Condition,Chronic disease of cardiovascular system,Chronic hypertension in obstetric context,4227607,SNOMED,8762007
Condition,Chronic disease of cardiovascular system,Chronic hypotension,316447,SNOMED,77545000
Condition,Chronic disease of cardiovascular system,Chronic hypotension - idiopathic,4117864,SNOMED,286963007
Condition,Chronic disease of cardiovascular system,Chronic inactive rheumatic heart disease,4006165,SNOMED,111284004
Condition,Chronic disease of cardiovascular system,Chronic infective pericarditis,4119595,SNOMED,233886008
Condition,Chronic disease of cardiovascular system,Chronic interstitial myocarditis,4264536,SNOMED,45093008
Condition,Chronic disease of cardiovascular system,Chronic intractable migraine without aura,43530652,SNOMED,124171000119105
Condition,Chronic disease of cardiovascular system,Chronic ischemic heart disease,315286,SNOMED,413838009
Condition,Chronic disease of cardiovascular system,Chronic left-sided congestive heart failure,4206009,SNOMED,5375005
Condition,Chronic disease of cardiovascular system,Chronic left-sided heart failure,4009047,SNOMED,111283005
Condition,Chronic disease of cardiovascular system,Chronic lichenoid pityriasis,4001578,SNOMED,10057001
Condition,Chronic disease of cardiovascular system,Chronic migraine without aura,762769,SNOMED,431601000124105
Condition,Chronic disease of cardiovascular system,Chronic migraine without aura with status migrainosus,760968,SNOMED,124161000119104
Condition,Chronic disease of cardiovascular system,"Chronic migraine without aura, non-refractory",765701,SNOMED,437931000124100
Condition,Chronic disease of cardiovascular system,Chronic migratory panniculitis,46272972,SNOMED,711435001
Condition,Chronic disease of cardiovascular system,Chronic mixed headache syndrome,4318560,SNOMED,95657009
Condition,Chronic disease of cardiovascular system,Chronic myocardial disorder due to chemical or external agent,4119593,SNOMED,233880002
Condition,Chronic disease of cardiovascular system,Chronic myocardial ischemia,4185302,SNOMED,413844008
Condition,Chronic disease of cardiovascular system,Chronic myocarditis,764141,SNOMED,451241000124108
Condition,Chronic disease of cardiovascular system,"Chronic nephritic syndrome, diffuse endocapillary proliferative glomerulonephritis",4059463,SNOMED,197712008
Condition,Chronic disease of cardiovascular system,Chronic nontraumatic dissection of thoracic aorta,4137219,SNOMED,425453009
Condition,Chronic disease of cardiovascular system,Chronic occlusion of artery of extremity,44782819,SNOMED,698816006
Condition,Chronic disease of cardiovascular system,Chronic orthostatic hypotension,4327471,SNOMED,75181005
Condition,Chronic disease of cardiovascular system,Chronic passive congestion of liver,200451,SNOMED,34736002
Condition,Chronic disease of cardiovascular system,Chronic pericarditis,4053008,SNOMED,23627006
Condition,Chronic disease of cardiovascular system,Chronic peripheral venous hypertension,4313767,SNOMED,423674003
Condition,Chronic disease of cardiovascular system,Chronic peripheral venous hypertension with lower extremity complication,44782715,SNOMED,153811000119105
Condition,Chronic disease of cardiovascular system,Chronic posterior tibial vein thrombosis,3172731,Nebraska Lexicon,8130001000004100
Condition,Chronic disease of cardiovascular system,Chronic pulmonary embolism,44782732,SNOMED,133971000119108
Condition,Chronic disease of cardiovascular system,Chronic pulmonary heart disease,315831,SNOMED,87837008
Condition,Chronic disease of cardiovascular system,Chronic pulmonary thromboembolism,45768887,SNOMED,707412000
Condition,Chronic disease of cardiovascular system,Chronic pulmonary thromboembolism without pulmonary hypertension,45771016,SNOMED,707413005
Condition,Chronic disease of cardiovascular system,Chronic rejection of cardiac transplant,4332085,SNOMED,431896008
Condition,Chronic disease of cardiovascular system,Chronic rheumatic aortic valve disease,4122085,SNOMED,286950001
Condition,Chronic disease of cardiovascular system,Chronic rheumatic endocarditis,4263730,SNOMED,46165000
Condition,Chronic disease of cardiovascular system,Chronic rheumatic heart disease,4227150,SNOMED,87648004
Condition,Chronic disease of cardiovascular system,Chronic rheumatic heart disease with myocarditis,4264740,SNOMED,61012002
Condition,Chronic disease of cardiovascular system,Chronic rheumatic mediastinopericarditis,4235735,SNOMED,90453003
Condition,Chronic disease of cardiovascular system,Chronic rheumatic mitral valve,4117862,SNOMED,286947004
Condition,Chronic disease of cardiovascular system,Chronic rheumatic myopericarditis,4192358,SNOMED,756003
Condition,Chronic disease of cardiovascular system,Chronic rheumatic pericarditis,321307,SNOMED,78069008
Condition,Chronic disease of cardiovascular system,Chronic rheumatic valvulitis,4231452,SNOMED,89456004
Condition,Chronic disease of cardiovascular system,Chronic right-sided congestive heart failure,4284562,SNOMED,66989003
Condition,Chronic disease of cardiovascular system,Chronic right-sided heart failure,4014159,SNOMED,10335000
Condition,Chronic disease of cardiovascular system,Chronic systolic dysfunction of left ventricle,4325525,SNOMED,430396006
Condition,Chronic disease of cardiovascular system,Chronic systolic heart failure,40479192,SNOMED,441481004
Condition,Chronic disease of cardiovascular system,Chronic thrombosis of bilateral subclavian veins,762050,SNOMED,286441000119107
Condition,Chronic disease of cardiovascular system,Chronic thrombosis of inferior vena cava,46270157,SNOMED,15712441000119103
Condition,Chronic disease of cardiovascular system,Chronic thrombosis of left subclavian vein,762051,SNOMED,286451000119109
Condition,Chronic disease of cardiovascular system,Chronic thrombosis of mesenteric vein,45757409,SNOMED,133411000119108
Condition,Chronic disease of cardiovascular system,Chronic thrombosis of right subclavian vein,762046,SNOMED,286381000119105
Condition,Chronic disease of cardiovascular system,Chronic thrombosis of splenic vein,36712891,SNOMED,143551000119106
Condition,Chronic disease of cardiovascular system,Chronic thrombosis of subclavian vein,44782759,SNOMED,132551000119104
