Concept ID,Concept Code,Concept Name,Domain,Vocabulary,Standard Concept
3138676,240611008,Acquired immune deficiency syndrome-related complex,Condition,Nebraska Lexicon,N
4080601,240611008,Acquired immune deficiency syndrome-related complex,Condition,SNOMED,N
3297618,236406007,Acquired immune deficiency syndrome-related nephropathy,Condition,Nebraska Lexicon,N
4128060,236406007,Acquired immune deficiency syndrome-related nephropathy,Condition,SNOMED,S
3164791,91923005,Acquired immunodeficiency syndrome virus infection associated with pregnancy,Condition,Nebraska Lexicon,N
3164791,91923005,Acquired immunodeficiency syndrome virus infection associated with pregnancy,Condition,Nebraska Lexicon,N
3163408,77070006,Acquired immunodeficiency syndrome with Salmonella infection,Condition,Nebraska Lexicon,N
3163408,77070006,Acquired immunodeficiency syndrome with Salmonella infection,Condition,Nebraska Lexicon,N
44829022,518.84,Acute and chronic respiratory failure,Condition,ICD9CM,N
44819750,518.53,Acute and chronic respiratory failure following trauma and surgery,Condition,ICD9CM,N
45581868,J96.22,Acute and chronic respiratory failure with hypercapnia,Condition,ICD10CM,N
45543283,J96.21,Acute and chronic respiratory failure with hypoxia,Condition,ICD10CM,N
45596290,J96.20,"Acute and chronic respiratory failure, unspecified whether with hypoxia or hypercapnia",Condition,ICD10CM,N
3330199,304527002,Acute asthma,Condition,Nebraska Lexicon,N
4125022,304527002,Acute asthma,Condition,SNOMED,S
3390683,713511002,Acute endocarditis co-occurrent with human immunodeficiency virus infection,Condition,Nebraska Lexicon,N
37017266,713511002,Acute endocarditis co-occurrent with human immunodeficiency virus infection,Condition,SNOMED,S
45769441,708093000,Acute exacerbation of allergic asthma,Condition,SNOMED,S
3315821,708038006,Acute exacerbation of asthma,Condition,Nebraska Lexicon,N
45771045,708038006,Acute exacerbation of asthma,Condition,SNOMED,S
3475819,9.9031E+13,Acute exacerbation of asthma co-occurrent with allergic rhinitis,Condition,Nebraska Lexicon,N
46273452,9.9031E+13,Acute exacerbation of asthma co-occurrent with allergic rhinitis,Condition,SNOMED,S
3379169,442025000,Acute exacerbation of chronic asthmatic bronchitis,Condition,Nebraska Lexicon,N
40481763,442025000,Acute exacerbation of chronic asthmatic bronchitis,Condition,SNOMED,S
3182754,425748003,Acute exacerbation of chronic bronchitis,Condition,Nebraska Lexicon,N
4137525,425748003,Acute exacerbation of chronic bronchitis,Condition,SNOMED,S
3302151,698296002,Acute exacerbation of chronic congestive heart failure,Condition,Nebraska Lexicon,N
44782655,698296002,Acute exacerbation of chronic congestive heart failure,Condition,SNOMED,S
3105905,155570004,Acute exacerbation of chronic obstructive airways disease,Condition,Nebraska Lexicon,N
3105906,155571000,Acute exacerbation of chronic obstructive airways disease,Condition,Nebraska Lexicon,N
257004,195951007,Acute exacerbation of chronic obstructive airways disease,Condition,SNOMED,S
40316538,155570004,Acute exacerbation of chronic obstructive airways disease,Condition,SNOMED,N
40316540,155571000,Acute exacerbation of chronic obstructive airways disease,Condition,SNOMED,N
3375330,1.751E+12,Acute exacerbation of chronic obstructive airways disease with asthma,Condition,Nebraska Lexicon,N
43530693,1.751E+12,Acute exacerbation of chronic obstructive airways disease with asthma,Condition,SNOMED,S
3249471,2.93241E+14,Acute exacerbation of chronic obstructive bronchitis,Condition,Nebraska Lexicon,N
46270376,2.93241E+14,Acute exacerbation of chronic obstructive bronchitis,Condition,SNOMED,S
3253499,195951007,Acute exacerbation of chronic obstructive pulmonary disease,Condition,Nebraska Lexicon,N
3436486,708093000,Acute exacerbation of extrinsic asthma,Condition,Nebraska Lexicon,N
37312199,789574002,Acute exacerbation of idiopathic pulmonary fibrosis,Condition,SNOMED,S
3377749,708094006,Acute exacerbation of intrinsic asthma,Condition,Nebraska Lexicon,N
45773005,708094006,Acute exacerbation of intrinsic asthma,Condition,SNOMED,S
3398938,1.35181E+14,Acute exacerbation of mild persistent asthma,Condition,Nebraska Lexicon,N
46270082,1.35181E+14,Acute exacerbation of mild persistent asthma,Condition,SNOMED,S
3329107,1.35171E+14,Acute exacerbation of moderate persistent asthma,Condition,Nebraska Lexicon,N
46273487,1.35171E+14,Acute exacerbation of moderate persistent asthma,Condition,SNOMED,S
4008081,111880001,Acute HIV infection,Condition,SNOMED,S
3333046,111880001,Acute human immunodeficiency virus seroconversion illness,Condition,Nebraska Lexicon,N
45769809,708537005,Acute idiopathic pulmonary fibrosis,Condition,SNOMED,N
3237311,285381006,Acute infective exacerbation of chronic obstructive airways disease,Condition,Nebraska Lexicon,N
4115044,285381006,Acute infective exacerbation of chronic obstructive airways disease,Condition,SNOMED,S
44807895,8.47091E+14,Acute non-infective exacerbation of chronic obstructive pulmonary disease,Condition,SNOMED,S
45567181,I50.43,Acute on chronic combined systolic (congestive) and diastolic (congestive) heart failure,Condition,ICD10CM,N
44823119,428.43,Acute on chronic combined systolic and diastolic heart failure,Condition,ICD9CM,N
3374087,1.53951E+14,Acute on chronic combined systolic and diastolic heart failure,Condition,Nebraska Lexicon,N
44782733,1.53951E+14,Acute on chronic combined systolic and diastolic heart failure,Condition,SNOMED,S
45562355,I50.33,Acute on chronic diastolic (congestive) heart failure,Condition,ICD10CM,N
44835944,428.33,Acute on chronic diastolic heart failure,Condition,ICD9CM,N
3409639,443344007,Acute on chronic diastolic heart failure,Condition,Nebraska Lexicon,N
40481043,443344007,Acute on chronic diastolic heart failure,Condition,SNOMED,S
3345431,7.401E+12,Acute on chronic heart failure co-occurrent with normal ejection fraction,Condition,Nebraska Lexicon,N
764874,7.401E+12,Acute on chronic heart failure co-occurrent with normal ejection fraction,Condition,SNOMED,S
3395829,7.361E+12,Acute on chronic hypercapnic respiratory failure,Condition,Nebraska Lexicon,N
36716978,7.361E+12,Acute on chronic hypercapnic respiratory failure,Condition,SNOMED,S
3189532,2.0091E+13,Acute on chronic hypoxemic and hypercapnic respiratory failure,Condition,Nebraska Lexicon,N
35615340,2.0091E+13,Acute on chronic hypoxemic and hypercapnic respiratory failure,Condition,SNOMED,S
37016114,1.06723E+16,Acute on chronic hypoxemic respiratory failure,Condition,SNOMED,S
3422785,67905004,Acute on chronic respiratory failure,Condition,Nebraska Lexicon,N
1326604,I50.813,Acute on chronic right heart failure,Condition,ICD10CM,N
37309625,1.6839E+16,Acute on chronic right-sided congestive heart failure,Condition,SNOMED,S
45567180,I50.23,Acute on chronic systolic (congestive) heart failure,Condition,ICD10CM,N
44833573,428.23,Acute on chronic systolic heart failure,Condition,ICD9CM,N
3357820,443253003,Acute on chronic systolic heart failure,Condition,Nebraska Lexicon,N
40480602,443253003,Acute on chronic systolic heart failure,Condition,SNOMED,S
45548100,J01.21,Acute recurrent ethmoidal sinusitis,Condition,ICD10CM,N
45576940,J01.11,Acute recurrent frontal sinusitis,Condition,ICD10CM,N
45601113,J01.41,Acute recurrent pansinusitis,Condition,ICD10CM,N
45538471,J01.91,"Acute recurrent sinusitis, unspecified",Condition,ICD10CM,N
45596274,J01.31,Acute recurrent sphenoidal sinusitis,Condition,ICD10CM,N
45552877,J03.01,Acute recurrent streptococcal tonsillitis,Condition,ICD10CM,N
45591540,J03.91,"Acute recurrent tonsillitis, unspecified",Condition,ICD10CM,N
36684328,782513000,Acute severe exacerbation of allergic asthma,Condition,SNOMED,S
3290077,708090002,Acute severe exacerbation of asthma,Condition,Nebraska Lexicon,N
3548003,1.06477E+15,Acute severe exacerbation of asthma,Condition,SNOMED,N
45769438,708090002,Acute severe exacerbation of asthma,Condition,SNOMED,S
3475208,735587000,Acute severe exacerbation of asthma co-occurrent and due to allergic asthma,Condition,Nebraska Lexicon,N
42536648,735587000,Acute severe exacerbation of asthma co-occurrent and due to allergic asthma,Condition,SNOMED,N
3457827,1.06747E+16,Acute severe exacerbation of asthma co-occurrent with allergic rhinitis,Condition,Nebraska Lexicon,N
46269767,1.06747E+16,Acute severe exacerbation of asthma co-occurrent with allergic rhinitis,Condition,SNOMED,S
3456756,708095007,Acute severe exacerbation of extrinsic asthma,Condition,Nebraska Lexicon,N
45769442,708095007,Acute severe exacerbation of immunoglobin E-mediated allergic asthma,Condition,SNOMED,S
3380541,708096008,Acute severe exacerbation of intrinsic asthma,Condition,Nebraska Lexicon,N
45769443,708096008,Acute severe exacerbation of intrinsic asthma,Condition,SNOMED,S
3472327,1.06759E+16,Acute severe exacerbation of mild persistent allergic asthma,Condition,Nebraska Lexicon,N
46274124,1.06759E+16,Acute severe exacerbation of mild persistent allergic asthma,Condition,SNOMED,S
3465375,1.0676E+16,Acute severe exacerbation of mild persistent allergic asthma co-occurrent with allergic rhinitis,Condition,Nebraska Lexicon,N
46269777,1.0676E+16,Acute severe exacerbation of mild persistent allergic asthma co-occurrent with allergic rhinitis,Condition,SNOMED,S
3180839,707981009,Acute severe exacerbation of mild persistent asthma,Condition,Nebraska Lexicon,N
45769352,707981009,Acute severe exacerbation of mild persistent asthma,Condition,SNOMED,S
3459941,1.06764E+16,Acute severe exacerbation of moderate persistent allergic asthma,Condition,Nebraska Lexicon,N
46273462,1.06764E+16,Acute severe exacerbation of moderate persistent allergic asthma,Condition,SNOMED,S
3274552,707980005,Acute severe exacerbation of moderate persistent asthma,Condition,Nebraska Lexicon,N
45769351,707980005,Acute severe exacerbation of moderate persistent asthma,Condition,SNOMED,S
3442305,1.06765E+16,Acute severe exacerbation of moderate persistent asthma co-occurrent with allergic rhinitis,Condition,Nebraska Lexicon,N
46269785,1.06765E+16,Acute severe exacerbation of moderate persistent asthma co-occurrent with allergic rhinitis,Condition,SNOMED,S
3429308,1.06755E+16,Acute severe exacerbation of severe persistent allergic asthma,Condition,Nebraska Lexicon,N
46274059,1.06755E+16,Acute severe exacerbation of severe persistent allergic asthma,Condition,SNOMED,S
3219427,707979007,Acute severe exacerbation of severe persistent asthma,Condition,Nebraska Lexicon,N
45769350,707979007,Acute severe exacerbation of severe persistent asthma,Condition,SNOMED,S
3458111,1.06756E+16,Acute severe exacerbation of severe persistent asthma co-occurrent with allergic rhinitis,Condition,Nebraska Lexicon,N
46269771,1.06756E+16,Acute severe exacerbation of severe persistent asthma co-occurrent with allergic rhinitis,Condition,SNOMED,S
3400990,733858005,Acute severe refractory exacerbation of asthma,Condition,Nebraska Lexicon,N
37116845,733858005,Acute severe refractory exacerbation of asthma,Condition,SNOMED,S
3353242,195963002,Acute vesicular emphysema,Condition,Nebraska Lexicon,N
4110049,195963002,Acute vesicular emphysema,Condition,SNOMED,N
3415639,1.06723E+16,Acute-on-chronic hypoxemic respiratory failure,Condition,Nebraska Lexicon,N
312940,67905004,Acute-on-chronic respiratory failure,Condition,SNOMED,S
3227055,1.07621E+16,Acute-on-chronic respiratory failure following trauma,Condition,Nebraska Lexicon,N
765888,1.07621E+16,Acute-on-chronic respiratory failure following trauma,Condition,SNOMED,S
3371934,310701003,Adamantiades-Behcet disease,Condition,Nebraska Lexicon,N
3334478,51068008,Adult bronchiectasis,Condition,Nebraska Lexicon,N
4199450,51068008,Adult bronchiectasis,Condition,SNOMED,S
3337143,713530002,Agranulocytosis co-occurrent with human immunodeficiency virus infection,Condition,Nebraska Lexicon,N
37017282,713530002,Agranulocytosis co-occurrent with human immunodeficiency virus infection,Condition,SNOMED,S
4267414,62479008,AIDS,Condition,SNOMED,S
4241524,91923005,AIDS virus infection associated with pregnancy,Condition,SNOMED,N
4241524,91923005,AIDS virus infection associated with pregnancy,Condition,SNOMED,N
40403276,20421002,"AIDS virus infection, NEC",Condition,SNOMED,N
40403276,20421002,"AIDS virus infection, NEC",Condition,SNOMED,N
3129469,20421002,"AIDS virus infection, NEC -RETIRED-",Condition,Nebraska Lexicon,N
3129469,20421002,"AIDS virus infection, NEC -RETIRED-",Condition,Nebraska Lexicon,N
3117249,178257007,AIDS virus with acute lymphadenitis,Condition,Nebraska Lexicon,N
40260457,178257007,AIDS virus with acute lymphadenitis,Condition,SNOMED,N
3117249,178257007,AIDS virus with acute lymphadenitis,Condition,Nebraska Lexicon,N
40260457,178257007,AIDS virus with acute lymphadenitis,Condition,SNOMED,N
3147223,314103003,AIDS virus with aseptic meningitis,Condition,Nebraska Lexicon,N
40525124,314103003,AIDS virus with aseptic meningitis,Condition,SNOMED,N
3147223,314103003,AIDS virus with aseptic meningitis,Condition,Nebraska Lexicon,N
40525124,314103003,AIDS virus with aseptic meningitis,Condition,SNOMED,N
3062819,89706008,AIDS with Burkitt's tumor,Condition,Nebraska Lexicon,N
40638817,89706008,AIDS with Burkitt's tumor,Condition,SNOMED,N
3150359,359778001,AIDS with coccidiosis,Condition,Nebraska Lexicon,N
40388362,19423005,AIDS with coccidiosis,Condition,SNOMED,N
40539091,359778001,AIDS with coccidiosis,Condition,SNOMED,N
3150359,359778001,AIDS with coccidiosis,Condition,Nebraska Lexicon,N
40388362,19423005,AIDS with coccidiosis,Condition,SNOMED,N
40539091,359778001,AIDS with coccidiosis,Condition,SNOMED,N
3124076,19423005,AIDS with coccidiosis (disorder) [Ambiguous],Condition,Nebraska Lexicon,N
3124076,19423005,AIDS with coccidiosis (disorder) [Ambiguous],Condition,Nebraska Lexicon,N
3153172,38118004,AIDS with cryptosporidiosis,Condition,Nebraska Lexicon,N
40549354,38118004,AIDS with cryptosporidiosis,Condition,SNOMED,N
3153172,38118004,AIDS with cryptosporidiosis,Condition,Nebraska Lexicon,N
40549354,38118004,AIDS with cryptosporidiosis,Condition,SNOMED,N
3059325,33615004,AIDS with cytomegalic inclusion disease,Condition,Nebraska Lexicon,N
40532429,33615004,AIDS with cytomegalic inclusion disease,Condition,SNOMED,N
3059325,33615004,AIDS with cytomegalic inclusion disease,Condition,Nebraska Lexicon,N
40532429,33615004,AIDS with cytomegalic inclusion disease,Condition,SNOMED,N
3150537,36154007,AIDS with deficiency anaemia,Condition,Nebraska Lexicon,N
40538664,36154007,AIDS with deficiency anemia,Condition,SNOMED,N
3150362,359787005,AIDS with dermatophytosis,Condition,Nebraska Lexicon,N
40539101,359787005,AIDS with dermatophytosis,Condition,SNOMED,N
3160830,54962007,AIDS with fever,Condition,Nebraska Lexicon,N
40599235,54962007,AIDS with fever,Condition,SNOMED,N
3160830,54962007,AIDS with fever,Condition,Nebraska Lexicon,N
40599235,54962007,AIDS with fever,Condition,SNOMED,N
3161378,60690004,AIDS with herpes simplex,Condition,Nebraska Lexicon,N
40607606,60690004,AIDS with herpes simplex,Condition,SNOMED,N
3161378,60690004,AIDS with herpes simplex,Condition,Nebraska Lexicon,N
40607606,60690004,AIDS with herpes simplex,Condition,SNOMED,N
3076799,45719002,AIDS with hypersplenism,Condition,Nebraska Lexicon,N
40491089,45719002,AIDS with hypersplenism,Condition,SNOMED,N
3076799,45719002,AIDS with hypersplenism,Condition,Nebraska Lexicon,N
40491089,45719002,AIDS with hypersplenism,Condition,SNOMED,N
3164111,84350008,AIDS with immunoblastic sarcoma,Condition,Nebraska Lexicon,N
40636102,84350008,AIDS with immunoblastic sarcoma,Condition,SNOMED,N
3150357,359775003,AIDS with isosporiasis,Condition,Nebraska Lexicon,N
40539088,359775003,AIDS with isosporiasis,Condition,SNOMED,N
3150357,359775003,AIDS with isosporiasis,Condition,Nebraska Lexicon,N
40539088,359775003,AIDS with isosporiasis,Condition,SNOMED,N
3128469,20197001,AIDS with lymphadenopathy,Condition,Nebraska Lexicon,N
40401213,20197001,AIDS with lymphadenopathy,Condition,SNOMED,N
3128469,20197001,AIDS with lymphadenopathy,Condition,Nebraska Lexicon,N
40401213,20197001,AIDS with lymphadenopathy,Condition,SNOMED,N
3080608,80440003,AIDS with malignant neoplasm,Condition,Nebraska Lexicon,N
40629865,80440003,AIDS with malignant neoplasm,Condition,SNOMED,N
3080608,80440003,AIDS with malignant neoplasm,Condition,Nebraska Lexicon,N
40629865,80440003,AIDS with malignant neoplasm,Condition,SNOMED,N
3160078,46910000,AIDS with microsporidiosis,Condition,Nebraska Lexicon,N
40487286,46910000,AIDS with microsporidiosis,Condition,SNOMED,N
3160078,46910000,AIDS with microsporidiosis,Condition,Nebraska Lexicon,N
40487286,46910000,AIDS with microsporidiosis,Condition,SNOMED,N
3123108,19285002,AIDS with opportunistic mycosis,Condition,Nebraska Lexicon,N
40390518,19285002,AIDS with opportunistic mycosis,Condition,SNOMED,N
3123108,19285002,AIDS with opportunistic mycosis,Condition,Nebraska Lexicon,N
40390518,19285002,AIDS with opportunistic mycosis,Condition,SNOMED,N
40276914,111886007,AIDS with or without other conditions,Condition,SNOMED,N
3085904,111886007,AIDS with or without other conditions -RETIRED-,Condition,Nebraska Lexicon,N
40276916,111888008,AIDS with other specified conditions,Condition,SNOMED,N
3085905,111888008,AIDS with other specified conditions -RETIRED-,Condition,Nebraska Lexicon,N
40641740,87769005,AIDS with pyrexia,Condition,SNOMED,N
40641740,87769005,AIDS with pyrexia,Condition,SNOMED,N
3064929,87769005,AIDS with pyrexia -RETIRED-,Condition,Nebraska Lexicon,N
3064929,87769005,AIDS with pyrexia -RETIRED-,Condition,Nebraska Lexicon,N
4299361,77070006,AIDS with Salmonella infection,Condition,SNOMED,N
4299361,77070006,AIDS with Salmonella infection,Condition,SNOMED,N
3073848,312261006,AIDS with slow virus infection,Condition,Nebraska Lexicon,N
40517943,312261006,AIDS with slow virus infection,Condition,SNOMED,N
3073848,312261006,AIDS with slow virus infection,Condition,Nebraska Lexicon,N
40517943,312261006,AIDS with slow virus infection,Condition,SNOMED,N
40319124,15427004,"AIDS with specified infection, NEC",Condition,SNOMED,N
3104717,15427004,"AIDS with specified infection, NEC -RETIRED-",Condition,Nebraska Lexicon,N
3160080,46933004,AIDS with splenomegaly,Condition,Nebraska Lexicon,N
40487312,46933004,AIDS with splenomegaly,Condition,SNOMED,N
3160080,46933004,AIDS with splenomegaly,Condition,Nebraska Lexicon,N
40487312,46933004,AIDS with splenomegaly,Condition,SNOMED,N
40287885,11837006,AIDS with subacute adenoviral encephalitis,Condition,SNOMED,N
40287885,11837006,AIDS with subacute adenoviral encephalitis,Condition,SNOMED,N
3061906,11837006,AIDS with subacute adenoviral encephalitis (disorder) [Ambiguous],Condition,Nebraska Lexicon,N
3061906,11837006,AIDS with subacute adenoviral encephalitis (disorder) [Ambiguous],Condition,Nebraska Lexicon,N
3161667,63536001,AIDS with toxoplasmosis,Condition,Nebraska Lexicon,N
40611164,63536001,AIDS with toxoplasmosis,Condition,SNOMED,N
3161667,63536001,AIDS with toxoplasmosis,Condition,Nebraska Lexicon,N
40611164,63536001,AIDS with toxoplasmosis,Condition,SNOMED,N
3379036,733072002,"Alaninuria, microcephaly, dwarfism, enamel hypoplasia, diabetes mellitus syndrome",Condition,Nebraska Lexicon,N
4191479,389145006,Allergic asthma,Condition,SNOMED,S
3432874,703954005,Allergic asthma caused by Dermatophagoides farinae,Condition,Nebraska Lexicon,N
3451367,703953004,Allergic asthma caused by Dermatophagoides pteronyssinus,Condition,Nebraska Lexicon,N
45766728,703954005,Allergic asthma due to Dermatophagoides farinae,Condition,SNOMED,S
45766727,703953004,Allergic asthma due to Dermatophagoides pteronyssinus,Condition,SNOMED,S
3137830,233682008,Allergic asthma NEC,Condition,Nebraska Lexicon,N
4119299,233682008,Allergic asthma NEC,Condition,SNOMED,N
3124228,1945002,Allergic asthma with stated cause,Condition,Nebraska Lexicon,N
40389375,1945002,Allergic asthma with stated cause,Condition,SNOMED,N
